,date,tic,open,high,low,close,volume,day,close_20_sma,close_60_sma,turbulence,close_ma60_diff,open_z,high_z,low_z,close_z,close_60_sma_z,close_20_sma_z
0,2024-05-20,000300.SH,3682.0615,3703.0287,3677.4426,3690.9623,18460942300.0,0.0,3612.4050200000006,3560.261925,0.18229178761447581,0.03671088750022243,1.692857964999786,1.8535606986413131,1.6574564876247984,1.7610779892088628,0.7593272761678871,1.1589771057602964
1,2024-05-21,000300.SH,3682.2868,3684.6106,3665.1524,3676.1611,13067828300.0,1.0,3617.7229850000003,3564.6837066666662,0.16806345006553441,0.03127273062820376,1.6734124938680033,1.6910726388734818,1.5431964733060555,1.6268591113651825,0.7796661812079669,1.1827479207520621
2,2024-05-22,000300.SH,3675.6471,3691.8804,3667.0885,3684.451,15191460500.0,2.0,3624.86244,3568.4767016666665,0.08075179052231003,0.032499665271505745,1.6020553929374937,1.724350834014301,1.537578191013054,1.6683805907528546,0.7946748150788769,1.2194632893827158
3,2024-05-23,000300.SH,3672.8403,3674.3654,3633.5051,3641.7917,14257299000.0,3.0,3630.4067999999997,3571.061985,1.5565868222216568,0.01980635320727999,1.570372693754538,1.5818132171555594,1.2753000584625767,1.3374619109410304,0.8068836146949327,1.2520581899599348
4,2024-05-24,000300.SH,3630.827,3650.8734,3599.6678,3601.4754,12479117700.0,4.0,3635.1693250000003,3572.9242149999995,1.411789089011158,0.007990985333563887,1.2479714371756376,1.397908152994147,1.0149167183467125,1.0284366325215013,0.8148885185645424,1.280449784884784
5,2024-05-27,000300.SH,3606.645,3638.1514,3603.7131,3635.7079,13127264400.0,0.0,3640.8736249999993,3575.9633716666667,1.1971374645476924,0.016707253996700682,1.0575356174678763,1.2920909023874119,1.0357085397993522,1.2738998098252354,0.8291204994118552,1.3123570153197004
6,2024-05-28,000300.SH,3633.2535,3638.9703,3605.9213,3609.1724,12353223800.0,1.0,3644.8181800000007,3577.869788333334,0.5932118577450052,0.008748952175044815,1.2467289931026169,1.2891362689240193,1.0439784780932233,1.0680951682735613,0.8358921024187954,1.3325158974103206
7,2024-05-29,000300.SH,3609.0708,3633.1971,3602.8198,3613.5223,11590632100.0,2.0,3646.2808649999997,3580.59083,0.028024977778732897,0.00919721676212861,1.0562544193092902,1.2344126176406045,1.0100945482238357,1.0891260664276579,0.8459469895032332,1.331028344038365
8,2024-05-30,000300.SH,3607.0522,3624.0352,3586.7543,3594.3121,12260299500.0,3.0,3644.8008499999996,3581.8946549999996,0.3051814571564356,0.00346672534957634,1.0334568590015771,1.1584756381625958,0.8840357509798799,0.939671794620177,0.8482619250918733,1.3113400444209145
9,2024-05-31,000300.SH,3599.8196,3614.6439,3579.9247,3579.9247,11246201900.0,4.0,3643.57737,3582.59667,0.1647549578209486,-0.0007458193724050645,0.9718787169479072,1.0807023368284254,0.8258323582557016,0.8258323582557016,0.8454470076902199,1.2930998828241433
10,2024-06-03,000300.SH,3577.3798,3600.6044,3567.8713,3588.7483,14105459100.0,0.0,3640.1209499999995,3583.3946650000003,0.09926871372332167,0.0014940121031853854,0.7989929497272634,0.968951308189454,0.7294094455361126,0.8821879928357527,0.8430099223240659,1.2581346728152802
11,2024-06-04,000300.SH,3583.8104,3622.5012,3580.2771,3615.6714,12454509600.0,1.0,3637.9541400000003,3584.2306166666667,0.7658182668488016,0.008771975549545797,0.8339508066790849,1.1157385579519241,0.8082175403322447,1.0659966559069105,0.8370112734967116,1.2282833803167785
12,2024-06-05,000300.SH,3610.3601,3623.3232,3594.1056,3594.7936,11090676600.0,2.0,3636.1826550000005,3584.9597083333338,0.37081404193655915,0.0027430968453584187,1.0156363154869068,1.1097227452481069,0.8976608410592289,0.9026543583256016,0.8312797829867519,1.2030569176007757
13,2024-06-06,000300.SH,3602.1554,3625.0109,3584.171,3592.2454,13789351700.0,3.0,3632.5668750000004,3586.0018066666667,0.0015695459571543303,0.001741101558210538,0.9422963027662772,1.1078630361312944,0.812016135649835,0.8705076161198524,0.8252786186068004,1.1625990120730925
14,2024-06-07,000300.SH,3594.6335,3603.0698,3552.0853,3574.1143,13110302600.0,4.0,3627.958735,3586.488546666667,0.2822829491488389,-0.0034502401180585254,0.8763249493090706,0.9373720755301773,0.5684357874868515,0.7278430090798145,0.8173860786898435,1.117474484934047
